,Country or Area,Year,Value
497,Iceland,1996,3474.3191022831897
498,Iceland,1995,3426.1759360165197
499,Iceland,1994,3300.87650519844
500,Iceland,1993,3378.18842826825
501,Iceland,1992,3293.95794183094
502,Iceland,1991,3381.65271388796
503,Iceland,1990,3598.27058868961
504,Ireland,2017,60743.72525023019
505,Ireland,2016,61270.2016144391
506,Ireland,2015,59211.8125206129
507,Ireland,2014,57098.536885642
508,Ireland,2013,57410.2147514188
509,Ireland,2012,57611.5340974633
510,Ireland,2011,56989.1934353769
511,Ireland,2010,61104.8439011533
512,Ireland,2009,61547.23377893269
513,Ireland,2008,67301.8269380515
514,Ireland,2007,68018.49766815509
515,Ireland,2006,68782.2260714384
516,Ireland,2005,69495.03209770139
517,Ireland,2004,67963.8342180709
518,Ireland,2003,68662.57509209111
519,Ireland,2002,68428.6586196398
520,Ireland,2001,70475.25931682531
521,Ireland,2000,68478.4068609908
522,Ireland,1999,66308.69135428111
523,Ireland,1998,65173.6402043626
524,Ireland,1997,62652.4305458196
525,Ireland,1996,61272.6771513672
526,Ireland,1995,59177.472068131
527,Ireland,1994,57697.0255940621
528,Ireland,1993,56359.8153074209
529,Ireland,1992,55959.165606092996
530,Ireland,1991,56097.2621621524
531,Ireland,1990,55417.06344238349
532,Italy,2017,427707.84700829
533,Italy,2016,432119.010604574
534,Italy,2015,434043.793316207
535,Italy,2014,426211.749668455
536,Italy,2013,442708.383434046
537,Italy,2012,472722.35618789296
538,Italy,2011,492475.30674378
539,Italy,2010,505773.047466611
540,Italy,2009,496177.67052316
541,Italy,2008,547846.688807141
542,Italy,2007,560568.959523055
543,Italy,2006,570044.719529409
544,Italy,2005,580599.8907105239
545,Italy,2004,579999.234095701
546,Italy,2003,575695.547995376
547,Italy,2002,561242.99065002
548,Italy,2001,561225.2296724711
549,Italy,2000,554105.749469561
550,Italy,1999,548226.4557818429
551,Italy,1998,543114.43683801
552,Italy,1997,531865.2159754729
553,Italy,1996,525294.6478261921
554,Italy,1995,532419.0330143471
555,Italy,1994,503474.64597788104
556,Italy,1993,509407.903431504
557,Italy,1992,515451.152599314
558,Italy,1991,518908.77028809104
559,Italy,1990,517745.652875795
560,Japan,2017,1289630.58219042
561,Japan,2016,1305751.32761888
562,Japan,2015,1321466.53434942
563,Japan,2014,1360070.64932065
564,Japan,2013,1408057.25066147
565,Japan,2012,1396605.09931542
566,Japan,2011,1353795.03252237
567,Japan,2010,1302731.54675151
568,Japan,2009,1248598.69503036
569,Japan,2008,1321398.22604267
570,Japan,2007,1393442.08567374
571,Japan,2006,1357394.99077929
572,Japan,2005,1378956.84801415
573,Japan,2004,1371761.54288621
574,Japan,2003,1379176.14282756
575,Japan,2002,1373197.99964993
576,Japan,2001,1349407.0103079
577,Japan,2000,1374846.58796181
578,Japan,1999,1354486.37881734
579,Japan,1998,1330890.58781029
580,Japan,1997,1379442.88059068
581,Japan,1996,1387110.93623408
582,Japan,1995,1374496.13806979
583,Japan,1994,1353408.35845562
584,Japan,1993,1289062.30064714
585,Japan,1992,1296545.97263701
586,Japan,1991,1283840.34499133
587,Japan,1990,1270003.62184288
588,Latvia,2017,11306.1960422948
589,Latvia,2016,11268.723135166201
590,Latvia,2015,11255.9244124257
591,Latvia,2014,11173.493507021101
592,Latvia,2013,11259.7204275391
593,Latvia,2012,11327.4631074527
594,Latvia,2011,11489.3957118618
595,Latvia,2010,12279.2337581606
596,Latvia,2009,11176.1563558724
597,Latvia,2008,11873.991982888501
598,Latvia,2007,12339.4154247607
599,Latvia,2006,11883.7859385879
600,Latvia,2005,11387.930195783501
601,Latvia,2004,11206.7878482799
602,Latvia,2003,11221.6179957607
603,Latvia,2002,11043.4422473678
604,Latvia,2001,11062.1590288151
605,Latvia,2000,10487.7599513279
606,Latvia,1999,11102.3536496923
607,Latvia,1998,11883.5866286582
608,Latvia,1997,12382.5590835012
609,Latvia,1996,12934.445959043602
610,Latvia,1995,12893.287196224699
611,Latvia,1994,14269.2561571861
612,Latvia,1993,16199.6508187135
613,Latvia,1992,19616.5149269358
614,Latvia,1991,24365.5408755431
615,Latvia,1990,26259.459988556002
616,Liechtenstein,2017,193.62347834070098
617,Liechtenstein,2016,187.683610491231
618,Liechtenstein,2015,197.789480173407
619,Liechtenstein,2014,200.50015307146998
620,Liechtenstein,2013,232.132044574926
621,Liechtenstein,2012,225.55394563582598
